ID   M_g   Zmet   log(Teff)   log(g)   Age/Gyr   FUV   NUV   M_u   M_g   M_r   M_i   M_z   M_J   M_H   M_Ks   W1   W2   W3   W4
07x04   2.8753  -1.6263   3.7418   3.3487   9.0000  14.4053   6.4425   3.8767   2.8753   2.4374   2.2818   2.2191   1.2627   0.8783   0.8284   0.8025   0.7915   0.7675   0.7435
08x04   3.0957  -1.6263   3.8817   4.2025   5.0000   8.4855   5.1747   4.0677   3.0957   3.0827   3.1538   3.2518   2.5418   2.4518   2.4358   2.4348   2.4298   2.4198   2.4048
09x04   3.2581  -1.6263   3.8468   4.0637   7.0000   9.5153   5.5051   4.1624   3.2581   3.1465   3.1587   3.2179   2.4492   2.2886   2.2696   2.2656   2.2597   2.2469   2.2287
10x04   3.3954  -1.6263   3.8823   4.3266   4.0000   8.7819   5.4326   4.3438   3.3954   3.3778   3.4461   3.5452   2.8344   2.7422   2.7272   2.7262   2.7222   2.7127   2.6977
11x04   3.5163  -1.6263   3.8370   4.0974   8.0000  10.0522   5.8067   4.3914   3.5163   3.3732   3.3672   3.4152   2.6291   2.4461   2.4261   2.4211   2.4151   2.4020   2.3830
12x04   3.6297  -1.6263   3.8271   4.0795   9.0000  10.4421   5.9769   4.4859   3.6297   3.4574   3.4353   3.4712   2.6685   2.4638   2.4422   2.4362   2.4302   2.4162   2.3967
13x04   3.7354  -1.6263   3.8199   4.0730  10.0000  10.7912   6.1381   4.5820   3.7354   3.5415   3.5078   3.5360   2.7201   2.4998   2.4773   2.4697   2.4637   2.4487   2.4287
14x04   3.8366  -1.6263   3.8214   4.1182  10.0000  10.8401   6.2173   4.6775   3.8366   3.6456   3.6136   3.6438   2.8308   2.6130   2.5910   2.5840   2.5780   2.5630   2.5431
15x04   3.9344  -1.6263   3.8298   4.2186   8.0000  10.7318   6.2778   4.7814   3.9344   3.7648   3.7456   3.7860   2.9876   2.7876   2.7676   2.7618   2.7566   2.7428   2.7246
16x04   4.0331  -1.6263   3.8513   4.3987   4.0000  10.1805   6.1679   4.8824   4.0331   3.9209   3.9336   3.9973   3.2340   3.0750   3.0590   3.0570   3.0524   3.0404   3.0224
17x04   4.1336  -1.6263   3.8306   4.3039   7.0000  10.9135   6.4544   4.9677   4.1336   3.9627   3.9443   3.9853   3.1879   2.9888   2.9683   2.9640   2.9583   2.9450   2.9263
18x04   4.2371  -1.6263   3.8197   4.2691   9.0000  11.3744   6.6492   5.0626   4.2371   4.0350   3.9988   4.0276   3.2120   2.9899   2.9672   2.9612   2.9552   2.9406   2.9216
19x04   4.3437  -1.6263   3.8358   4.4331   4.0000  10.9782   6.6012   5.1652   4.3437   4.1840   4.1719   4.2182   3.4300   3.2393   3.2205   3.2167   3.2117   3.1987   3.1810
20x04   4.4553  -1.6263   3.8207   4.3570   8.0000  11.5132   6.7987   5.2582   4.4553   4.2547   4.2184   4.2468   3.4318   3.2088   3.1870   3.1806   3.1753   3.1606   3.1406
21x04   4.5725  -1.6263   3.8202   4.4048   7.0000  11.6500   6.9107   5.3673   4.5725   4.3694   4.3314   4.3597   3.5438   3.3186   3.2969   3.2909   3.2852   3.2709   3.2512
22x04   4.6955  -1.6263   3.8142   4.4225   7.0000  12.0571   7.1339   5.4959   4.6955   4.4730   4.4268   4.4486   3.6238   3.3880   3.3650   3.3575   3.3519   3.3369   3.3175
23x04   4.8291  -1.6263   3.8124   4.4670   6.0000  12.2684   7.2791   5.6221   4.8291   4.5998   4.5497   4.5698   3.7416   3.5007   3.4777   3.4701   3.4641   3.4490   3.4295
24x04   4.9712  -1.6263   3.8114   4.5141   5.0000  12.3992   7.3775   5.7465   4.9712   4.7389   4.6856   4.7033   3.8721   3.6281   3.6047   3.5969   3.5909   3.5752   3.5545
25x04   5.1245  -1.6263   3.8004   4.4933   8.0000  12.9707   7.6425   5.9007   5.1245   4.8619   4.7917   4.7969   3.9478   3.6804   3.6540   3.6438   3.6368   3.6208   3.5998
26x04   5.2936  -1.6263   3.7976   4.5501   6.0000  13.2940   7.8467   6.0684   5.2936   5.0205   4.9460   4.9483   4.0948   3.8224   3.7946   3.7836   3.7766   3.7607   3.7387
27x04   5.4831  -1.6263   3.7893   4.5679   7.0000  13.9232   8.1545   6.2707   5.4831   5.1835   5.0963   5.0887   4.2214   3.9354   3.9030   3.8886   3.8816   3.8646   3.8436
